recipe_id_candidate,display_name,ingredient_position,ingredient_raw_text,ingredient_name_normalized,quantity_value,quantity_unit,old_quantity_grams_estimated,new_quantity_grams_estimated,unit_rule_key,unit_rule_reason,mapping_status,mapped_food_id,safety
recipes_v1_1_candidate_136,Chinese Shrimp and Tofu Soup,10,1 tablespoon cornstarch,cornstarch,1.0,tablespoon,,8,cornstarch_tablespoon,cornstarch_tablespoon_density,accepted_auto,food_cornstarch,safe_auto
recipes_v1_1_candidate_137,Chicken Zoodle Soup in a Jar,5,1/4 teaspoon ground black pepper,black pepper,0.25,teaspoon,,0.575,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_137,Chicken Zoodle Soup in a Jar,8,1/2 cup shredded carrot,carrot,0.5,cup,,62.5,carrot_cup,carrot_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_138,Air Fryer Lemon Garlic Parmesan Chicken,5,1 teaspoon dried oregano,oregano,1.0,teaspoon,,1,dried oregano_teaspoon,dried_oregano_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_140,Hot Honey Feta Chicken Skewers,4,1/4 teaspoon ground black pepper,black pepper,0.25,teaspoon,,0.575,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_141,Lobster Ravioli in Tomato Cream Sauce with Shrimp,5,1 tablespoon dried basil,basil,1.0,tablespoon,,2.1,dried basil_tablespoon,dried_basil_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_141,Lobster Ravioli in Tomato Cream Sauce with Shrimp,6,1 tablespoon dried oregano,oregano,1.0,tablespoon,,3,dried oregano_tablespoon,dried_oregano_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_141,Lobster Ravioli in Tomato Cream Sauce with Shrimp,7,1 tablespoon dried thyme,thyme,1.0,tablespoon,,3,dried thyme_tablespoon,dried_thyme_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_142,"Super-Simple, Super-Spicy Mongolian Beef",5,1 tablespoon minced garlic,garlic,1.0,tablespoon,,8.4,fresh_garlic_tablespoon,fresh_garlic_explicit_density,accepted_auto,food_garlic_fresh,safe_auto
recipes_v1_1_candidate_144,Chicken Broth in a Slow Cooker,4,"2 carrots, chopped",carrots,2.0,count,,120,carrot_count,carrot_explicit_household_weight,unmapped,,safe_auto
recipes_v1_1_candidate_144,Chicken Broth in a Slow Cooker,6,1 tablespoon dried basil,basil,1.0,tablespoon,,2.1,dried basil_tablespoon,dried_basil_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_147,Creamy Morel Mushroom Soup,2,1 tablespoon minced garlic,garlic,1.0,tablespoon,,8.4,fresh_garlic_tablespoon,fresh_garlic_explicit_density,accepted_auto,food_garlic_fresh,safe_auto
recipes_v1_1_candidate_147,Creamy Morel Mushroom Soup,11,2 teaspoons ground black pepper,black pepper,2.0,teaspoon,,4.6,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_150,Smoky Chicken Salad,2,2 tablespoons ground black pepper,black pepper,2.0,tablespoon,,13.8,black pepper_tablespoon,black_pepper_tablespoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_151,Low-Carb Meatloaf,4,"1 carrot, shredded",carrot,1.0,count,,60,carrot_count,carrot_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_151,Low-Carb Meatloaf,9,2 teaspoons ground black pepper,black pepper,2.0,teaspoon,,4.6,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_152,Szechwan Shrimp,4,2 teaspoons cornstarch,cornstarch,2.0,teaspoon,,5.4,cornstarch_teaspoon,cornstarch_teaspoon_density,accepted_auto,food_cornstarch,safe_auto
recipes_v1_1_candidate_153,Asian Fire Meat,10,"1 small carrot, chopped",carrot,1.0,count,,60,carrot_count,carrot_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_158,Potato and Zucchini Frittata,6,1 teaspoon dried oregano,oregano,1.0,teaspoon,,1,dried oregano_teaspoon,dried_oregano_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_160,"Sausage, Egg, and Cheese Biscuit Casserole",8,1/2 teaspoon ground black pepper,black pepper,0.5,teaspoon,,1.15,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_163,My Big Fat Greek Omelet,2,"1 teaspoon dried oregano, divided",oregano,1.0,teaspoon,,1,dried oregano_teaspoon,dried_oregano_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_165,"Turkey Sausage, Potato, Brussels Sprouts, and Apple Hash",8,1/2 teaspoon black pepper,black pepper,0.5,teaspoon,,1.15,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_170,Easy Breakfast Tortilla Pizza,5,1/4 teaspoon ground black pepper,black pepper,0.25,teaspoon,,0.575,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_171,Homemade Hash Browns,5,¼ teaspoon ground black pepper,black pepper,0.25,teaspoon,,0.575,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_174,Easy Broccoli Frittata,6,1 teaspoon ground black pepper,black pepper,1.0,teaspoon,,2.3,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_184,Easy Black Bean Hummus,3,1 tablespoon dried basil,basil,1.0,tablespoon,,2.1,dried basil_tablespoon,dried_basil_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_186,Blackened Shrimp Tacos with Pineapple,3,1 tablespoon dried oregano,oregano,1.0,tablespoon,,3,dried oregano_tablespoon,dried_oregano_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_186,Blackened Shrimp Tacos with Pineapple,6,1 teaspoon black pepper,black pepper,1.0,teaspoon,,2.3,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_187,Homemade Turkey Sausage Patties,4,3/4 teaspoon black pepper,black pepper,0.75,teaspoon,,1.725,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_188,Easy Herb-Roasted Turkey,4,2 teaspoons dried basil,basil,2.0,teaspoon,,1.4,dried basil_teaspoon,dried_basil_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_188,Easy Herb-Roasted Turkey,7,½ teaspoon black pepper,black pepper,0.5,teaspoon,,1.15,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_192,Lemon Herb Quinoa,6,1 teaspoon minced garlic,garlic,1.0,teaspoon,,2.8,fresh_garlic_teaspoon,fresh_garlic_explicit_density,accepted_auto,food_garlic_fresh,safe_auto
recipes_v1_1_candidate_199,Mid-Summer Italian Bread Salad,6,1 cup chopped red onion,red onion,1.0,cup,,160,red onion_cup,onion_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_200,Broccoli and Carrot Stir Fry,2,"1 carrot, thinly sliced",carrot,1.0,count,,60,carrot_count,carrot_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_200,Broccoli and Carrot Stir Fry,4,1 teaspoon cornstarch,cornstarch,1.0,teaspoon,,2.7,cornstarch_teaspoon,cornstarch_teaspoon_density,accepted_auto,food_cornstarch,safe_auto
